workerid,noun,nounclass,slide_number,predicate2,predicate1,class2,response,class1
0,karot,food,3,maikli,sariwa,size,0.48,age
0,sopa,furniture,4,mahaba,sira,size,0.72,quality
0,silya,furniture,5,parihaba,bulok,shape,0.5,age
0,sopa,furniture,6,bago,dilaw,age,0.59,color
0,mesa,furniture,7,maikli,kahoy,size,0.68,material
0,kamatis,food,8,maliit,puti,size,0.4,color
0,lampara,furniture,9,bago,parihaba,age,0.71,shape
0,karot,food,10,mahaba,bulok,size,0.7,age
0,lampara,furniture,11,maikli,bulok,size,0.82,age
0,lampara,furniture,12,bilog,pula,shape,0.63,color
0,television,furniture,13,sira,bulok,quality,0.32,age
0,kamatis,food,14,bago,itim,age,0.7,color
0,keso,food,15,maliit,bago,size,0.84,age
0,television,furniture,16,mahaba,makinis,size,0.34,texture
0,keso,food,17,puti,maliit,color,0.56,size
0,silya,furniture,18,parihaba,mahaba,shape,0.6,size
0,silya,furniture,19,asul,luma,color,0.47,age
0,lampara,furniture,20,bilog,kahoy,shape,0.66,material
0,keso,food,21,maganda,bago,quality,0.16,age
0,saging,food,22,maganda,puti,quality,0.42,color
0,lampara,furniture,23,mahaba,bakal,size,0.34,material
0,mesa,furniture,24,maliit,aluminyo,size,0.64,material
0,kamatis,food,25,bulok,makinis,age,0.54,texture
0,mansanas,food,26,kahoy,asul,material,0.5,color
0,sopa,furniture,27,pula,tatsulok,color,0.58,shape
0,sopa,furniture,28,aluminyo,tatsulok,material,0.47,shape
1,karot,food,3,parihaba,puti,shape,0.03,color
1,mansanas,food,4,parihaba,aluminyo,shape,0.29,material
1,saging,food,5,malaki,kahoy,size,0.55,material
1,mesa,furniture,6,makinis,mahaba,texture,0.62,size
1,silya,furniture,7,berde,malaki,color,0.25,size
1,saging,food,8,matigas,asul,texture,0.69,color
1,silya,furniture,9,sira,bago,quality,0.37,age
1,kamatis,food,10,maliit,parihaba,size,0.69,shape
1,karot,food,11,bago,parihaba,age,0.49,shape
1,saging,food,12,kahoy,luma,material,0.7,age
1,keso,food,13,parihaba,makinis,shape,0.72,texture
1,mansanas,food,14,maliit,sariwa,size,0.36,age
1,lampara,furniture,15,malaki,bulok,size,0.65,age
1,lampara,furniture,16,mahaba,puti,size,0.33,color
1,mesa,furniture,17,mahaba,aluminyo,size,0.8,material
1,sopa,furniture,18,malambot,tatsulok,texture,0.17,shape
1,karot,food,19,maikli,matigas,size,0.7,texture
1,silya,furniture,20,mahaba,matigas,size,0.4,texture
1,lampara,furniture,21,parihaba,sariwa,shape,0.67,age
1,keso,food,22,malaki,sira,size,0.35,quality
1,lampara,furniture,23,bulok,malaki,age,0.76,size
1,saging,food,24,parihaba,dilaw,shape,0.3,color
1,keso,food,25,mahaba,dilaw,size,0.74,color
1,kamatis,food,26,sira,parihaba,quality,0.41,shape
1,mesa,furniture,27,maikli,maganda,size,0.7,quality
1,television,furniture,28,kahoy,bilog,material,0.37,shape
2,keso,food,3,bulok,asul,age,0.84,color
2,television,furniture,4,sira,dilaw,quality,0.82,color
2,mesa,furniture,5,sira,makinis,quality,0.12,texture
2,kamatis,food,6,malaki,aluminyo,size,0.86,material
2,karot,food,7,bago,mahaba,age,0.85,size
2,lampara,furniture,8,puti,aluminyo,color,0.15,material
2,silya,furniture,9,sariwa,aluminyo,age,0.88,material
2,silya,furniture,10,kahoy,tatsulok,material,0.92,shape
2,karot,food,11,maliit,bakal,size,0.88,material
2,mesa,furniture,12,maganda,berde,quality,0.09,color
2,mesa,furniture,13,bilog,matigas,shape,0.88,texture
2,television,furniture,14,maikli,bilog,size,0.1,shape
2,television,furniture,15,maganda,luma,quality,0.9,age
2,kamatis,food,16,bulok,maganda,age,0.89,quality
2,kamatis,food,17,matigas,bakal,texture,0.86,material
2,karot,food,18,maikli,makinis,size,0.87,texture
2,karot,food,19,dilaw,sira,color,0.12,quality
2,kamatis,food,20,malaki,parihaba,size,0.91,shape
2,kamatis,food,21,dilaw,bilog,color,0.77,shape
2,sopa,furniture,22,tatsulok,luma,shape,0.16,age
2,silya,furniture,23,luma,malambot,age,0.14,texture
2,kamatis,food,24,tatsulok,aluminyo,shape,0.07,material
2,saging,food,25,asul,tatsulok,color,0.87,shape
2,silya,furniture,26,malambot,bakal,texture,0.88,material
2,mesa,furniture,27,puti,matigas,color,0.82,texture
2,silya,furniture,28,malambot,bilog,texture,0.49,shape
3,keso,food,3,asul,sira,color,0.86,quality
3,sopa,furniture,4,makinis,berde,texture,0.98,color
3,mansanas,food,5,matigas,pula,texture,0.95,color
3,karot,food,6,kahoy,malaki,material,0.11,size
3,mesa,furniture,7,sariwa,bakal,age,0.03,material
3,saging,food,8,parihaba,berde,shape,0.9,color
3,sopa,furniture,9,tatsulok,aluminyo,shape,0.91,material
3,mansanas,food,10,cuadrado,maliit,shape,0.06,size
3,keso,food,11,asul,maganda,color,1,quality
3,mesa,furniture,12,bulok,dilaw,age,0.95,color
3,mesa,furniture,13,sira,bakal,quality,0.03,material
3,silya,furniture,14,berde,matigas,color,0.03,texture
3,lampara,furniture,15,aluminyo,matigas,material,0.06,texture
3,television,furniture,16,berde,bilog,color,0.06,shape
3,sopa,furniture,17,malaki,bakal,size,0.1,material
3,lampara,furniture,18,maliit,aluminyo,size,0.93,material
3,silya,furniture,19,bakal,bilog,material,0,shape
3,mansanas,food,20,maikli,bakal,size,0.04,material
3,silya,furniture,21,berde,maganda,color,0.98,quality
3,mesa,furniture,22,sariwa,puti,age,0.08,color
3,saging,food,23,maganda,bulok,quality,0.07,age
3,television,furniture,24,maganda,bago,quality,0.03,age
3,lampara,furniture,25,bulok,itim,age,1,color
3,mesa,furniture,26,berde,maliit,color,0.97,size
3,sopa,furniture,27,malaki,asul,size,0.04,color
3,keso,food,28,itim,sariwa,color,0.9,age
4,kamatis,food,3,maganda,aluminyo,quality,1,material
4,kamatis,food,4,bakal,maliit,material,0.01,size
4,keso,food,5,dilaw,bulok,color,0.03,age
4,lampara,furniture,6,maliit,bago,size,0.96,age
4,keso,food,7,dilaw,maliit,color,0.97,size
4,television,furniture,8,bilog,malambot,shape,0.98,texture
4,kamatis,food,9,makinis,kahoy,texture,0.03,material
