workerid,noun,nounclass,slide_number,predicate2,predicate1,class2,response,class1
0,mansanas,food,3,kahoy,makinis,material,0,texture
0,saging,food,4,puti,matigas,color,1,texture
0,kamatis,food,5,malaki,puti,size,0.04,color
0,sopa,furniture,6,kahoy,makinis,material,0.19,texture
0,mesa,furniture,7,maliit,parihaba,size,1,shape
0,sopa,furniture,8,kahoy,mahaba,material,0.13,size
0,karot,food,9,bulok,berde,age,0.07,color
0,kamatis,food,10,sariwa,makinis,age,0.35,texture
0,lampara,furniture,11,malambot,bulok,texture,0.06,age
0,saging,food,12,aluminyo,sariwa,material,0.21,age
0,lampara,furniture,13,sira,maikli,quality,0.09,size
0,mesa,furniture,14,aluminyo,makinis,material,0.1,texture
0,keso,food,15,mahaba,pula,size,0.08,color
0,television,furniture,16,pula,sariwa,color,0.05,age
0,saging,food,17,aluminyo,berde,material,0.13,color
0,silya,furniture,18,bilog,kahoy,shape,0.09,material
0,silya,furniture,19,parihaba,matigas,shape,0.06,texture
0,television,furniture,20,maikli,makinis,size,0.86,texture
0,kamatis,food,21,bakal,berde,material,0.03,color
0,kamatis,food,22,maikli,dilaw,size,0.82,color
0,karot,food,23,malambot,asul,texture,0.11,color
0,television,furniture,24,sariwa,puti,age,0.16,color
0,mansanas,food,25,maganda,bulok,quality,0.71,age
0,silya,furniture,26,parihaba,dilaw,shape,0.07,color
0,kamatis,food,27,itim,bakal,color,0.73,material
0,television,furniture,28,maganda,asul,quality,0.11,color
1,keso,food,3,dilaw,bago,color,0.49,age
1,lampara,furniture,4,maliit,malambot,size,0.22,texture
1,mesa,furniture,5,makinis,luma,texture,0.28,age
1,silya,furniture,6,aluminyo,maikli,material,0.15,size
1,mansanas,food,7,matigas,cuadrado,texture,0.16,shape
1,silya,furniture,8,aluminyo,mahaba,material,0.1,size
1,kamatis,food,9,sariwa,makinis,age,0.9,texture
1,lampara,furniture,10,makinis,berde,texture,0.53,color
1,lampara,furniture,11,malambot,luma,texture,0.15,age
1,television,furniture,12,maganda,tatsulok,quality,0.14,shape
1,sopa,furniture,13,sira,pula,quality,0.08,color
1,karot,food,14,puti,maganda,color,0.12,quality
1,silya,furniture,15,maganda,sariwa,quality,0.87,age
1,silya,furniture,16,sariwa,maliit,age,0.88,size
1,television,furniture,17,tatsulok,luma,shape,0.11,age
1,mesa,furniture,18,mahaba,tatsulok,size,0.87,shape
1,keso,food,19,asul,kahoy,color,0.79,material
1,lampara,furniture,20,dilaw,mahaba,color,0.16,size
1,mansanas,food,21,maikli,asul,size,0.16,color
1,silya,furniture,22,aluminyo,sira,material,0.15,quality
1,television,furniture,23,luma,makinis,age,0.76,texture
1,television,furniture,24,bulok,mahaba,age,0.87,size
1,karot,food,25,kahoy,dilaw,material,0.13,color
1,mansanas,food,26,berde,malambot,color,0.22,texture
1,kamatis,food,27,maliit,bakal,size,0.81,material
1,karot,food,28,dilaw,bago,color,0.76,age
2,mansanas,food,3,dilaw,sariwa,color,1,age
2,karot,food,4,maliit,luma,size,0,age
2,lampara,furniture,5,mahaba,asul,size,0,color
2,lampara,furniture,6,sira,maikli,quality,1,size
2,silya,furniture,7,makinis,maikli,texture,1,size
2,karot,food,8,luma,itim,age,1,color
2,mesa,furniture,9,sariwa,sira,age,0,quality
2,keso,food,10,bilog,sariwa,shape,0,age
2,saging,food,11,tatsulok,luma,shape,0,age
2,silya,furniture,12,tatsulok,bulok,shape,1,age
2,television,furniture,13,malaki,maganda,size,1,quality
2,keso,food,14,parihaba,kahoy,shape,0,material
2,lampara,furniture,15,makinis,tatsulok,texture,1,shape
2,lampara,furniture,16,cuadrado,mahaba,shape,1,size
2,television,furniture,17,asul,mahaba,color,0,size
2,karot,food,18,dilaw,kahoy,color,1,material
2,karot,food,19,asul,sira,color,0,quality
2,silya,furniture,20,kahoy,itim,material,0,color
2,mansanas,food,21,kahoy,bago,material,1,age
2,sopa,furniture,22,mahaba,luma,size,1,age
2,television,furniture,23,mahaba,bilog,size,0,shape
2,sopa,furniture,24,bulok,dilaw,age,0,color
2,television,furniture,25,makinis,luma,texture,1,age
2,mansanas,food,26,malaki,dilaw,size,1,color
2,mansanas,food,27,maliit,aluminyo,size,1,material
2,mansanas,food,28,parihaba,makinis,shape,0,texture
3,kamatis,food,3,sira,parihaba,quality,0.37,shape
3,sopa,furniture,4,bulok,bakal,age,0.8,material
3,lampara,furniture,5,kahoy,luma,material,0.77,age
3,mansanas,food,6,maikli,parihaba,size,0.28,shape
3,mesa,furniture,7,bakal,maliit,material,0.83,size
3,mansanas,food,8,maliit,makinis,size,0.8,texture
3,karot,food,9,maikli,maganda,size,0.73,quality
3,television,furniture,10,bulok,pula,age,0.75,color
3,silya,furniture,11,malambot,puti,texture,0.3,color
3,lampara,furniture,12,maganda,bago,quality,0.75,age
3,television,furniture,13,sariwa,mahaba,age,0.35,size
3,silya,furniture,14,pula,sira,color,0.52,quality
3,keso,food,15,pula,kahoy,color,0.83,material
3,mesa,furniture,16,matigas,malaki,texture,0.26,size
3,lampara,furniture,17,sariwa,parihaba,age,0.75,shape
3,television,furniture,18,sira,bilog,quality,0.71,shape
3,saging,food,19,berde,sariwa,color,0.87,age
3,lampara,furniture,20,makinis,malaki,texture,0.76,size
3,mesa,furniture,21,mahaba,bago,size,0.13,age
3,kamatis,food,22,matigas,pula,texture,0.74,color
3,mansanas,food,23,maliit,bulok,size,0.72,age
3,mesa,furniture,24,dilaw,kahoy,color,0.34,material
3,mesa,furniture,25,dilaw,aluminyo,color,0.75,material
3,karot,food,26,tatsulok,maikli,shape,0.8,size
3,kamatis,food,27,luma,puti,age,0.61,color
3,karot,food,28,aluminyo,tatsulok,material,0.7,shape
4,silya,furniture,3,malambot,maganda,texture,0.72,quality
4,saging,food,4,bakal,dilaw,material,0.71,color
4,kamatis,food,5,maikli,cuadrado,size,0.32,shape
4,keso,food,6,tatsulok,bago,shape,0.26,age
4,lampara,furniture,7,mahaba,matigas,size,0.66,texture
4,mansanas,food,8,malambot,bakal,texture,0.67,material
4,television,furniture,9,cuadrado,malambot,shape,0.83,texture
4,mansanas,food,10,dilaw,bulok,color,0.73,age
4,television,furniture,11,sira,pula,quality,0.25,color
4,saging,food,12,itim,bago,color,0.29,age
4,kamatis,food,13,matigas,malaki,texture,0.53,size
4,mansanas,food,14,maikli,asul,size,0.68,color
4,saging,food,15,pula,aluminyo,color,0.24,material
4,silya,furniture,16,itim,mahaba,color,0.28,size
4,karot,food,17,bulok,bilog,age,0.44,shape
4,karot,food,18,aluminyo,asul,material,0.25,color
4,keso,food,19,matigas,puti,texture,0.25,color
4,saging,food,20,malambot,tatsulok,texture,0.71,shape
4,karot,food,21,pula,bulok,color,0.72,age
4,silya,furniture,22,kahoy,sariwa,material,0.33,age
4,sopa,furniture,23,itim,sariwa,color,0.73,age
4,karot,food,24,bilog,sariwa,shape,0.35,age
4,sopa,furniture,25,cuadrado,aluminyo,shape,0.71,material
4,television,furniture,26,malaki,berde,size,0.25,color
4,saging,food,27,tatsulok,kahoy,shape,0.69,material
4,sopa,furniture,28,kahoy,luma,material,0.72,age
5,keso,food,3,cuadrado,maikli,shape,0.87,size
5,saging,food,4,kahoy,bago,material,0.12,age
5,saging,food,5,maliit,berde,size,0.12,color
5,mansanas,food,6,bulok,itim,age,0.85,color
5,lampara,furniture,7,itim,bago,color,0.18,age
5,television,furniture,8,bago,puti,age,0.87,color
5,mesa,furniture,9,maliit,bulok,size,0.92,age
5,mesa,furniture,10,bakal,maliit,material,0.91,size
