workerid,noun,nounclass,slide_number,predicate2,predicate1,class2,response,class1
0,lampara,furniture,3,makinis,luma,texture,0.92,age
0,lampara,furniture,4,mahaba,pula,size,0.12,color
0,television,furniture,5,sariwa,puti,age,0.33,color
0,saging,food,6,malaki,makinis,size,0.86,texture
0,karot,food,7,mahaba,bulok,size,0.16,age
0,saging,food,8,aluminyo,itim,material,0.2,color
0,kamatis,food,9,sira,matigas,quality,0.77,texture
0,mansanas,food,10,berde,makinis,color,0.25,texture
0,karot,food,11,maliit,makinis,size,0.83,texture
0,television,furniture,12,parihaba,malaki,shape,0.66,size
0,saging,food,13,pula,bago,color,0.68,age
0,karot,food,14,luma,mahaba,age,0.26,size
0,keso,food,15,matigas,luma,texture,0.26,age
0,keso,food,16,bakal,bulok,material,0.69,age
0,karot,food,17,berde,maikli,color,0.67,size
0,mansanas,food,18,bago,cuadrado,age,0.72,shape
0,silya,furniture,19,cuadrado,dilaw,shape,0.76,color
0,karot,food,20,bilog,malambot,shape,0.72,texture
0,saging,food,21,mahaba,tatsulok,size,0.29,shape
0,lampara,furniture,22,pula,sariwa,color,0.87,age
0,lampara,furniture,23,aluminyo,cuadrado,material,0.88,shape
0,saging,food,24,mahaba,dilaw,size,0.22,color
0,lampara,furniture,25,bago,malaki,age,0.17,size
0,mansanas,food,26,puti,luma,color,0.86,age
0,mesa,furniture,27,maikli,kahoy,size,0.19,material
0,mesa,furniture,28,puti,matigas,color,0.24,texture
1,lampara,furniture,3,luma,kahoy,age,0.72,material
1,kamatis,food,4,parihaba,bulok,shape,0.29,age
1,mesa,furniture,5,maganda,aluminyo,quality,0.4,material
1,silya,furniture,6,tatsulok,bulok,shape,0.32,age
1,mesa,furniture,7,pula,makinis,color,0.72,texture
1,silya,furniture,8,luma,malaki,age,0.35,size
1,lampara,furniture,9,dilaw,makinis,color,0.17,texture
1,karot,food,10,bulok,malaki,age,0.65,size
1,keso,food,11,itim,malambot,color,0.79,texture
1,kamatis,food,12,mahaba,maganda,size,0.39,quality
1,saging,food,13,luma,tatsulok,age,0.66,shape
1,karot,food,14,luma,matigas,age,0.35,texture
1,karot,food,15,mahaba,tatsulok,size,0.66,shape
1,saging,food,16,malambot,puti,texture,0.39,color
1,karot,food,17,malaki,kahoy,size,0.61,material
1,sopa,furniture,18,berde,malaki,color,0.32,size
1,saging,food,19,sira,dilaw,quality,0.75,color
1,karot,food,20,aluminyo,parihaba,material,0.36,shape
1,lampara,furniture,21,sira,matigas,quality,0.37,texture
1,lampara,furniture,22,matigas,malaki,texture,0.67,size
1,kamatis,food,23,malambot,luma,texture,0.31,age
1,silya,furniture,24,maikli,itim,size,0.13,color
1,mesa,furniture,25,maganda,cuadrado,quality,0.56,shape
1,lampara,furniture,26,dilaw,mahaba,color,0.29,size
1,keso,food,27,pula,cuadrado,color,0.55,shape
1,mansanas,food,28,pula,tatsulok,color,0.6,shape
2,karot,food,3,puti,tatsulok,color,0.99,shape
2,saging,food,4,malambot,bago,texture,0.02,age
2,mansanas,food,5,malambot,bulok,texture,0.03,age
2,lampara,furniture,6,cuadrado,maikli,shape,0.98,size
2,karot,food,7,sariwa,malambot,age,0.99,texture
2,television,furniture,8,parihaba,bakal,shape,0.98,material
2,lampara,furniture,9,kahoy,berde,material,0.98,color
2,karot,food,10,parihaba,kahoy,shape,0.02,material
2,kamatis,food,11,parihaba,sariwa,shape,0.98,age
2,karot,food,12,luma,berde,age,0.01,color
2,keso,food,13,dilaw,maliit,color,0.98,size
2,television,furniture,14,tatsulok,bago,shape,0.99,age
2,keso,food,15,tatsulok,sira,shape,0.03,quality
2,mansanas,food,16,mahaba,pula,size,0.01,color
2,lampara,furniture,17,maliit,dilaw,size,0.03,color
2,silya,furniture,18,mahaba,matigas,size,0.98,texture
2,lampara,furniture,19,luma,mahaba,age,0.98,size
2,lampara,furniture,20,malambot,maliit,texture,0.05,size
2,mansanas,food,21,bakal,mahaba,material,0.99,size
2,sopa,furniture,22,sira,malambot,quality,1,texture
2,lampara,furniture,23,bulok,pula,age,0.02,color
2,sopa,furniture,24,berde,tatsulok,color,0.04,shape
2,keso,food,25,asul,mahaba,color,0.95,size
2,sopa,furniture,26,luma,puti,age,0.02,color
2,karot,food,27,asul,maganda,color,0.98,quality
