"","workerid","noun","nounclass","predicateposition","predicate","correctresponse","correctclass"
"1","2","lampara","furniture","predicate1","berde",1,"color"
"2","2","silya","furniture","predicate1","makinis",0.09,"texture"
"3","2","saging","food","predicate1","malaki",0.95,"size"
"4","2","kamatis","food","predicate1","pula",0.04,"color"
"5","2","mansanas","food","predicate1","asul",0.97,"color"
"6","2","karot","food","predicate1","malaki",0.97,"size"
"7","2","sopa","furniture","predicate1","matigas",0.02,"texture"
"8","2","sopa","furniture","predicate1","asul",0.96,"color"
"9","2","saging","food","predicate1","bilog",0.01,"shape"
"10","2","sopa","furniture","predicate1","makinis",0.03,"texture"
"11","2","mansanas","food","predicate1","asul",0,"color"
"12","2","television","furniture","predicate1","itim",1,"color"
"13","2","television","furniture","predicate1","parihaba",0.99,"shape"
"14","2","karot","food","predicate1","makinis",0.98,"texture"
"15","2","sopa","furniture","predicate1","luma",0.98,"age"
"16","2","mansanas","food","predicate1","matigas",0.05,"texture"
"17","2","silya","furniture","predicate1","bago",0.98,"age"
"18","2","karot","food","predicate1","tatsulok",0.96,"shape"
"19","2","television","furniture","predicate1","luma",0.99,"age"
"20","2","saging","food","predicate1","asul",0.98,"color"
"21","2","lampara","furniture","predicate1","bilog",0.05,"shape"
"22","2","keso","food","predicate1","sariwa",0.98,"age"
"23","2","mesa","furniture","predicate1","dilaw",0.48,"color"
"24","2","television","furniture","predicate1","matigas",0.98,"texture"
"25","2","mansanas","food","predicate1","matigas",0.99,"texture"
"26","2","television","furniture","predicate1","sira",0,"quality"
"27","3","saging","food","predicate1","bago",0.9,"age"
"28","3","karot","food","predicate1","bulok",0.14,"age"
"29","3","television","furniture","predicate1","bago",0.05,"age"
"30","3","mesa","furniture","predicate1","sira",0.14,"quality"
"31","3","keso","food","predicate1","bago",0.54,"age"
"32","3","karot","food","predicate1","maganda",0.1,"quality"
"33","3","lampara","furniture","predicate1","pula",0.09,"color"
"34","3","karot","food","predicate1","cuadrado",0.27,"shape"
"35","3","lampara","furniture","predicate1","sira",0.66,"quality"
"36","3","saging","food","predicate1","kahoy",0.22,"material"
"37","3","lampara","furniture","predicate1","sariwa",0.28,"age"
"38","3","keso","food","predicate1","luma",0.21,"age"
"39","3","silya","furniture","predicate1","sira",0.14,"quality"
"40","3","mesa","furniture","predicate1","tatsulok",0.82,"shape"
"41","3","karot","food","predicate1","malaki",0.77,"size"
"42","3","mansanas","food","predicate1","malambot",0.15,"texture"
"43","3","silya","furniture","predicate1","bago",0.87,"age"
"44","3","sopa","furniture","predicate1","pula",0.14,"color"
"45","3","kamatis","food","predicate1","bilog",0.89,"shape"
"46","3","mansanas","food","predicate1","bilog",0.83,"shape"
"47","3","keso","food","predicate1","maikli",0.07,"size"
"48","3","karot","food","predicate1","asul",0.51,"color"
"49","3","sopa","furniture","predicate1","malaki",0.18,"size"
"50","3","mansanas","food","predicate1","cuadrado",0.82,"shape"
"51","3","mansanas","food","predicate1","mahaba",0.74,"size"
"52","3","keso","food","predicate1","parihaba",0.28,"shape"
"53","6","saging","food","predicate1","itim",0.71,"color"
"54","6","sopa","furniture","predicate1","kahoy",0.31,"material"
"55","6","sopa","furniture","predicate1","asul",0.69,"color"
"56","6","saging","food","predicate1","dilaw",0.67,"color"
"57","6","sopa","furniture","predicate1","bulok",0.7,"age"
"58","6","saging","food","predicate1","maliit",0.74,"size"
"59","6","lampara","furniture","predicate1","maliit",0.68,"size"
"60","6","television","furniture","predicate1","malaki",0.75,"size"
"61","6","mansanas","food","predicate1","maganda",0.69,"quality"
"62","6","lampara","furniture","predicate1","berde",0.67,"color"
"63","6","mansanas","food","predicate1","tatsulok",0.69,"shape"
"64","6","saging","food","predicate1","maganda",0.68,"quality"
"65","6","lampara","furniture","predicate1","malambot",0.68,"texture"
"66","6","karot","food","predicate1","luma",0.64,"age"
"67","6","mansanas","food","predicate1","bilog",0.69,"shape"
"68","6","lampara","furniture","predicate1","luma",0.68,"age"
"69","6","mansanas","food","predicate1","pula",0.69,"color"
"70","6","mesa","furniture","predicate1","malaki",0.65,"size"
"71","6","karot","food","predicate1","mahaba",0.74,"size"
"72","6","mansanas","food","predicate1","malambot",0.67,"texture"
"73","6","mesa","furniture","predicate1","cuadrado",0.39,"shape"
"74","6","mansanas","food","predicate1","puti",0.43,"color"
"75","6","keso","food","predicate1","luma",0.65,"age"
"76","6","karot","food","predicate1","aluminyo",0.32,"material"
"77","6","karot","food","predicate1","maikli",0.72,"size"
"78","6","sopa","furniture","predicate1","matigas",0.62,"texture"
"79","16","sopa","furniture","predicate1","dilaw",0.77,"color"
"80","16","karot","food","predicate1","bilog",0.37,"shape"
"81","16","television","furniture","predicate1","maliit",0.79,"size"
"82","16","mansanas","food","predicate1","parihaba",0.22,"shape"
"83","16","mesa","furniture","predicate1","luma",0.84,"age"
"84","16","sopa","furniture","predicate1","sariwa",0.22,"age"
"85","16","television","furniture","predicate1","maikli",0.8,"size"
"86","16","karot","food","predicate1","tatsulok",0.91,"shape"
"87","16","sopa","furniture","predicate1","bakal",0.19,"material"
"88","16","television","furniture","predicate1","dilaw",0.85,"color"
"89","16","lampara","furniture","predicate1","matigas",0.09,"texture"
"90","16","kamatis","food","predicate1","malambot",0.02,"texture"
"91","16","television","furniture","predicate1","maganda",0.1,"quality"
"92","16","kamatis","food","predicate1","mahaba",0.93,"size"
"93","16","karot","food","predicate1","maganda",0.12,"quality"
"94","16","silya","furniture","predicate1","mahaba",0.95,"size"
"95","16","karot","food","predicate1","sariwa",0.15,"age"
"96","16","lampara","furniture","predicate1","puti",0.97,"color"
"97","16","mansanas","food","predicate1","berde",0.16,"color"
"98","16","karot","food","predicate1","puti",0.88,"color"
"99","16","karot","food","predicate1","maliit",0.19,"size"
"100","16","kamatis","food","predicate1","puti",0.84,"color"
"101","16","kamatis","food","predicate1","cuadrado",0.19,"shape"
"102","16","lampara","furniture","predicate1","puti",0.85,"color"
"103","16","sopa","furniture","predicate1","luma",0.26,"age"
