workerid,noun,nounclass,slide_number,predicate2,predicate1,class2,response,class1
0,lampara,furniture,3,maliit,aluminyo,size,0.03,material
0,television,furniture,4,maikli,makinis,size,0.05,texture
0,sopa,furniture,5,matigas,parihaba,texture,0.92,shape
0,saging,food,6,maganda,itim,quality,0.07,color
0,karot,food,7,bakal,cuadrado,material,0.04,shape
0,kamatis,food,8,maikli,pula,size,0.94,color
0,lampara,furniture,9,parihaba,dilaw,shape,0.03,color
0,mesa,furniture,10,bilog,itim,shape,0.98,color
0,lampara,furniture,11,itim,bilog,color,0.14,shape
0,keso,food,12,bulok,maganda,age,0.96,quality
0,silya,furniture,13,malaki,tatsulok,size,0.96,shape
0,silya,furniture,14,itim,malambot,color,0.07,texture
0,television,furniture,15,bulok,dilaw,age,0.04,color
0,mesa,furniture,16,maikli,bulok,size,0.95,age
0,mesa,furniture,17,bilog,luma,shape,0.9,age
0,silya,furniture,18,maliit,berde,size,0.1,color
0,television,furniture,19,itim,matigas,color,0.09,texture
0,keso,food,20,maikli,cuadrado,size,0.98,shape
0,karot,food,21,itim,bago,color,0.05,age
0,lampara,furniture,22,cuadrado,maikli,shape,0.94,size
0,kamatis,food,23,tatsulok,matigas,shape,0.03,texture
0,lampara,furniture,24,bilog,maganda,shape,0.96,quality
0,kamatis,food,25,dilaw,bulok,color,0.92,age
0,keso,food,26,puti,makinis,color,0.01,texture
0,mansanas,food,27,bago,puti,age,0.97,color
0,kamatis,food,28,maganda,pula,quality,0.5,color
1,silya,furniture,3,maliit,luma,size,0.63,age
1,sopa,furniture,4,kahoy,luma,material,0.25,age
1,mansanas,food,5,mahaba,malambot,size,0.76,texture
1,karot,food,6,sira,bilog,quality,0.81,shape
1,sopa,furniture,7,bulok,mahaba,age,0.3,size
1,kamatis,food,8,kahoy,mahaba,material,0.26,size
1,karot,food,9,bulok,maliit,age,0.85,size
1,mesa,furniture,10,makinis,kahoy,texture,0.78,material
1,mesa,furniture,11,cuadrado,mahaba,shape,0.71,size
1,mesa,furniture,12,maikli,sariwa,size,0.2,age
1,keso,food,13,bilog,pula,shape,0.17,color
1,mesa,furniture,14,pula,bulok,color,0.81,age
1,lampara,furniture,15,makinis,asul,texture,0.19,color
1,mesa,furniture,16,asul,aluminyo,color,0.24,material
1,mansanas,food,17,makinis,bilog,texture,0.26,shape
1,lampara,furniture,18,malambot,kahoy,texture,0.26,material
1,saging,food,19,aluminyo,pula,material,0.65,color
1,saging,food,20,maganda,tatsulok,quality,0.14,shape
1,sopa,furniture,21,tatsulok,asul,shape,0.8,color
1,keso,food,22,mahaba,makinis,size,0.55,texture
1,silya,furniture,23,maganda,parihaba,quality,0.81,shape
1,karot,food,24,cuadrado,kahoy,shape,0.82,material
1,saging,food,25,bilog,puti,shape,0.2,color
1,mesa,furniture,26,maliit,malambot,size,0.19,texture
1,lampara,furniture,27,bilog,bago,shape,0.26,age
1,keso,food,28,itim,aluminyo,color,0.22,material
2,silya,furniture,3,bago,parihaba,age,0.8,shape
2,mesa,furniture,4,bulok,asul,age,0.87,color
2,silya,furniture,5,asul,sariwa,color,0.25,age
2,karot,food,6,asul,makinis,color,0.85,texture
2,saging,food,7,itim,bulok,color,0.14,age
2,karot,food,8,maganda,maikli,quality,0.75,size
2,karot,food,9,tatsulok,sira,shape,0.14,quality
2,karot,food,10,mahaba,asul,size,0.28,color
2,mansanas,food,11,dilaw,matigas,color,0.15,texture
2,saging,food,12,pula,bakal,color,0.82,material
2,karot,food,13,berde,bakal,color,0.79,material
2,kamatis,food,14,bilog,maikli,shape,0.81,size
2,mesa,furniture,15,maganda,aluminyo,quality,0.48,material
2,mansanas,food,16,mahaba,pula,size,0.97,color
2,mansanas,food,17,cuadrado,maikli,shape,0.06,size
2,television,furniture,18,bakal,maikli,material,0.9,size
2,kamatis,food,19,malambot,kahoy,texture,0.9,material
2,silya,furniture,20,aluminyo,cuadrado,material,0.89,shape
2,sopa,furniture,21,tatsulok,bakal,shape,0.72,material
2,television,furniture,22,bakal,itim,material,0.83,color
2,keso,food,23,mahaba,dilaw,size,0.17,color
2,keso,food,24,malambot,maikli,texture,0.75,size
2,kamatis,food,25,malambot,mahaba,texture,0.23,size
2,silya,furniture,26,sira,bulok,quality,0.19,age
2,karot,food,27,makinis,maganda,texture,0.87,quality
2,saging,food,28,dilaw,matigas,color,0.21,texture
3,kamatis,food,3,bulok,aluminyo,age,0.75,material
3,lampara,furniture,4,bakal,tatsulok,material,0.3,shape
3,keso,food,5,puti,sira,color,0.76,quality
3,sopa,furniture,6,maliit,bilog,size,0.63,shape
3,lampara,furniture,7,maliit,dilaw,size,0.65,color
3,television,furniture,8,matigas,dilaw,texture,0.77,color
3,mansanas,food,9,itim,malaki,color,0.67,size
3,sopa,furniture,10,sira,aluminyo,quality,0.69,material
3,karot,food,11,cuadrado,malaki,shape,0.65,size
3,silya,furniture,12,berde,tatsulok,color,0.07,shape
3,television,furniture,13,malaki,dilaw,size,0.31,color
3,mansanas,food,14,malambot,malaki,texture,0.67,size
3,lampara,furniture,15,matigas,asul,texture,0.28,color
3,silya,furniture,16,sira,makinis,quality,0.83,texture
3,lampara,furniture,17,aluminyo,cuadrado,material,0.68,shape
3,mansanas,food,18,bakal,berde,material,0.61,color
3,saging,food,19,matigas,cuadrado,texture,0.2,shape
3,kamatis,food,20,sariwa,malaki,age,0.29,size
3,mesa,furniture,21,pula,maganda,color,0.68,quality
3,mesa,furniture,22,maganda,malambot,quality,0.25,texture
