workerid,noun,nounclass,slide_number,predicate2,predicate1,class2,response,class1
0,mesa,furniture,3,puti,bulok,color,0.67,age
0,saging,food,4,matigas,puti,texture,0.86,color
0,mesa,furniture,5,dilaw,malaki,color,0.74,size
0,mansanas,food,6,sariwa,malaki,age,0.63,size
0,karot,food,7,sariwa,mahaba,age,0.63,size
0,kamatis,food,8,itim,bilog,color,0.7,shape
0,television,furniture,9,dilaw,maliit,color,0.72,size
0,kamatis,food,10,dilaw,makinis,color,0.7,texture
0,saging,food,11,matigas,aluminyo,texture,0.76,material
0,mansanas,food,12,cuadrado,maganda,shape,0.83,quality
0,silya,furniture,13,sira,tatsulok,quality,0.76,shape
0,silya,furniture,14,bakal,sariwa,material,0.84,age
0,silya,furniture,15,bago,bakal,age,0.51,material
0,mesa,furniture,16,maliit,bakal,size,0.62,material
0,karot,food,17,bakal,luma,material,0.66,age
0,mesa,furniture,18,bago,berde,age,0.79,color
0,saging,food,19,bulok,maikli,age,0.66,size
0,mesa,furniture,20,malaki,pula,size,0.75,color
0,keso,food,21,mahaba,sariwa,size,0.76,age
0,saging,food,22,sariwa,matigas,age,0.79,texture
0,silya,furniture,23,makinis,kahoy,texture,0.7,material
0,keso,food,24,dilaw,bago,color,0.78,age
0,mansanas,food,25,bilog,aluminyo,shape,0.82,material
0,sopa,furniture,26,maliit,bakal,size,0.77,material
0,television,furniture,27,matigas,asul,texture,0.82,color
0,mesa,furniture,28,cuadrado,matigas,shape,0.85,texture
1,silya,furniture,3,luma,asul,age,0.01,color
1,sopa,furniture,4,kahoy,malambot,material,0.95,texture
1,silya,furniture,5,malambot,itim,texture,0.08,color
1,kamatis,food,6,sira,pula,quality,0.86,color
1,karot,food,7,malambot,bilog,texture,0.12,shape
1,keso,food,8,malaki,maganda,size,0.84,quality
1,karot,food,9,mahaba,bakal,size,0.16,material
1,keso,food,10,puti,tatsulok,color,0.77,shape
1,television,furniture,11,bulok,maikli,age,0.82,size
1,karot,food,12,malambot,puti,texture,0.15,color
1,mesa,furniture,13,maikli,asul,size,0.14,color
1,lampara,furniture,14,maganda,bago,quality,0.12,age
1,karot,food,15,bago,pula,age,0.12,color
