workerid,noun,nounclass,slide_number,predicate2,predicate1,class2,response,class1
0,mesa,furniture,3,tatsulok,puti,shape,0.68,color
0,silya,furniture,4,luma,berde,age,0.47,color
0,keso,food,5,mahaba,tatsulok,size,0.51,shape
0,karot,food,6,sariwa,puti,age,0.49,color
0,saging,food,7,mahaba,tatsulok,size,0.5,shape
0,mansanas,food,8,kahoy,malambot,material,0.66,texture
0,television,furniture,9,sariwa,asul,age,0.17,color
0,karot,food,10,parihaba,sariwa,shape,0.48,age
0,lampara,furniture,11,matigas,bulok,texture,0.49,age
0,television,furniture,12,bakal,tatsulok,material,0.45,shape
0,silya,furniture,13,makinis,bulok,texture,0.45,age
0,television,furniture,14,malambot,sira,texture,0.44,quality
0,karot,food,15,itim,malaki,color,0.46,size
0,television,furniture,16,puti,bulok,color,0.66,age
0,kamatis,food,17,bilog,itim,shape,0.28,color
0,sopa,furniture,18,maikli,berde,size,0.67,color
0,karot,food,19,dilaw,maliit,color,0.24,size
0,lampara,furniture,20,mahaba,bakal,size,0.49,material
0,saging,food,21,tatsulok,pula,shape,0.27,color
0,karot,food,22,sariwa,bilog,age,0.68,shape
0,kamatis,food,23,itim,matigas,color,0.41,texture
0,sopa,furniture,24,kahoy,dilaw,material,0.73,color
0,silya,furniture,25,kahoy,mahaba,material,0.49,size
0,mesa,furniture,26,tatsulok,itim,shape,0.69,color
0,kamatis,food,27,bakal,bago,material,0.65,age
0,kamatis,food,28,pula,luma,color,0.45,age
1,sopa,furniture,3,pula,malambot,color,0.14,texture
1,saging,food,4,pula,kahoy,color,0.74,material
1,kamatis,food,5,itim,sira,color,0.8,quality
1,sopa,furniture,6,puti,maliit,color,0.07,size
1,mansanas,food,7,bago,pula,age,0.11,color
1,television,furniture,8,makinis,malaki,texture,0.05,size
1,kamatis,food,9,bulok,itim,age,0.73,color
1,television,furniture,10,makinis,pula,texture,0.87,color
1,karot,food,11,malaki,parihaba,size,0.88,shape
1,karot,food,12,pula,sariwa,color,0.83,age
1,saging,food,13,cuadrado,dilaw,shape,0.03,color
1,keso,food,14,malaki,tatsulok,size,0.1,shape
1,saging,food,15,berde,maliit,color,0.07,size
1,kamatis,food,16,maikli,makinis,size,0.12,texture
1,sopa,furniture,17,asul,maikli,color,0.8,size
