workerid,noun,nounclass,slide_number,predicate2,predicate1,class2,response,class1
0,silya,furniture,3,malaki,parihaba,size,0.4,shape
0,silya,furniture,4,malambot,puti,texture,0.49,color
0,kamatis,food,5,makinis,pula,texture,0.32,color
0,mesa,furniture,6,sira,luma,quality,0.44,age
0,lampara,furniture,7,malaki,pula,size,0.5,color
0,mesa,furniture,8,matigas,pula,texture,0.33,color
0,television,furniture,9,berde,tatsulok,color,0.3,shape
0,silya,furniture,10,asul,bago,color,0.27,age
0,television,furniture,11,bakal,sariwa,material,0.43,age
0,television,furniture,12,kahoy,maganda,material,0.26,quality
0,mesa,furniture,13,bulok,maganda,age,0.32,quality
0,mesa,furniture,14,malambot,malaki,texture,0.24,size
0,mesa,furniture,15,makinis,aluminyo,texture,0.28,material
0,mesa,furniture,16,sira,maikli,quality,0.12,size
0,keso,food,17,bakal,dilaw,material,0.32,color
0,sopa,furniture,18,pula,aluminyo,color,0.22,material
0,television,furniture,19,puti,cuadrado,color,0.21,shape
0,keso,food,20,maikli,luma,size,0.33,age
0,kamatis,food,21,aluminyo,cuadrado,material,0.33,shape
0,karot,food,22,asul,maikli,color,0.24,size
0,television,furniture,23,matigas,pula,texture,0.3,color
0,mansanas,food,24,parihaba,asul,shape,0.22,color
0,lampara,furniture,25,dilaw,maganda,color,0.33,quality
0,mesa,furniture,26,sira,maikli,quality,0.24,size
0,keso,food,27,cuadrado,kahoy,shape,0.24,material
0,karot,food,28,itim,sira,color,0.37,quality
1,saging,food,3,parihaba,malaki,shape,1,size
1,sopa,furniture,4,sira,bago,quality,1,age
1,lampara,furniture,5,puti,maikli,color,0,size
1,mesa,furniture,6,puti,makinis,color,1,texture
1,television,furniture,7,bakal,maikli,material,1,size
1,lampara,furniture,8,maliit,malambot,size,0,texture
1,karot,food,9,cuadrado,sira,shape,0.97,quality
1,silya,furniture,10,malaki,kahoy,size,0,material
1,television,furniture,11,sira,aluminyo,quality,0,material
1,karot,food,12,kahoy,itim,material,0,color
1,saging,food,13,malambot,cuadrado,texture,0,shape
1,kamatis,food,14,parihaba,maliit,shape,1,size
1,karot,food,15,maikli,puti,size,1,color
1,kamatis,food,16,maganda,pula,quality,0,color
1,karot,food,17,bulok,pula,age,1,color
1,lampara,furniture,18,sariwa,sira,age,1,quality
1,television,furniture,19,dilaw,tatsulok,color,1,shape
1,silya,furniture,20,luma,kahoy,age,0,material
1,keso,food,21,bulok,maliit,age,0,size
1,keso,food,22,bilog,berde,shape,0.99,color
1,kamatis,food,23,itim,bakal,color,0,material
1,lampara,furniture,24,luma,matigas,age,1,texture
1,mesa,furniture,25,pula,sariwa,color,0.96,age
1,lampara,furniture,26,makinis,bago,texture,0,age
1,lampara,furniture,27,aluminyo,mahaba,material,1,size
1,karot,food,28,bakal,matigas,material,1,texture
2,keso,food,3,tatsulok,itim,shape,0.72,color
2,television,furniture,4,makinis,bakal,texture,0.42,material
2,saging,food,5,pula,kahoy,color,0.69,material
2,saging,food,6,bulok,malambot,age,0.88,texture
2,mansanas,food,7,maganda,tatsulok,quality,0.4,shape
2,saging,food,8,mahaba,bakal,size,0.77,material
2,keso,food,9,pula,maliit,color,0.17,size
2,keso,food,10,maliit,kahoy,size,0.68,material
2,television,furniture,11,berde,maliit,color,0.32,size
2,mansanas,food,12,matigas,malaki,texture,0.43,size
2,karot,food,13,makinis,bulok,texture,0.31,age
2,lampara,furniture,14,bago,maikli,age,0.68,size
2,mansanas,food,15,parihaba,aluminyo,shape,0.79,material
2,mesa,furniture,16,maganda,bago,quality,0.23,age
2,saging,food,17,itim,makinis,color,0.7,texture
2,saging,food,18,bago,kahoy,age,0.44,material
2,sopa,furniture,19,aluminyo,mahaba,material,0.71,size
2,lampara,furniture,20,pula,maganda,color,0.77,quality
2,lampara,furniture,21,sira,mahaba,quality,0.82,size
2,kamatis,food,22,aluminyo,tatsulok,material,0.7,shape
2,mesa,furniture,23,pula,mahaba,color,0.44,size
2,silya,furniture,24,bago,malaki,age,0.82,size
2,television,furniture,25,maikli,luma,size,0.38,age
2,television,furniture,26,maliit,bakal,size,0.6,material
2,sopa,furniture,27,bilog,puti,shape,0.77,color
2,kamatis,food,28,luma,tatsulok,age,0.42,shape
3,karot,food,3,maganda,cuadrado,quality,0.43,shape
3,sopa,furniture,4,dilaw,makinis,color,0.7,texture
3,television,furniture,5,maliit,sira,size,0.22,quality
3,mansanas,food,6,bulok,maganda,age,0.69,quality
3,mansanas,food,7,bulok,tatsulok,age,0.84,shape
3,keso,food,8,maganda,pula,quality,0.25,color
