workerid,noun,nounclass,slide_number,predicate2,predicate1,class2,response,class1
0,mesa,furniture,3,sira,pula,quality,0.7,color
0,karot,food,4,malaki,malambot,size,0.73,texture
0,karot,food,5,makinis,puti,texture,0.77,color
0,silya,furniture,6,malaki,matigas,size,0.29,texture
0,mansanas,food,7,bago,cuadrado,age,0.77,shape
0,saging,food,8,maganda,aluminyo,quality,0.55,material
0,lampara,furniture,9,aluminyo,parihaba,material,0.18,shape
0,keso,food,10,maganda,mahaba,quality,0.63,size
0,keso,food,11,luma,aluminyo,age,0.55,material
0,mesa,furniture,12,parihaba,sariwa,shape,0.61,age
0,mesa,furniture,13,malambot,bilog,texture,0.54,shape
0,keso,food,14,maliit,tatsulok,size,0.71,shape
0,silya,furniture,15,maliit,tatsulok,size,0.6,shape
0,silya,furniture,16,mahaba,luma,size,0.71,age
0,sopa,furniture,17,asul,maikli,color,0.46,size
0,mesa,furniture,18,dilaw,sira,color,0.62,quality
0,sopa,furniture,19,malaki,kahoy,size,0.5,material
0,kamatis,food,20,bilog,mahaba,shape,0.66,size
0,mansanas,food,21,malambot,sira,texture,0.26,quality
0,karot,food,22,maganda,berde,quality,0.56,color
0,karot,food,23,sariwa,kahoy,age,0.61,material
0,silya,furniture,24,malambot,sira,texture,0.51,quality
0,saging,food,25,bakal,pula,material,0.66,color
0,saging,food,26,malaki,bilog,size,0.66,shape
0,mansanas,food,27,malaki,aluminyo,size,0.58,material
0,keso,food,28,kahoy,malaki,material,0.68,size
1,mesa,furniture,3,berde,sira,color,0.02,quality
1,mesa,furniture,4,bilog,maikli,shape,0.94,size
1,silya,furniture,5,bakal,puti,material,0.98,color
1,karot,food,6,luma,puti,age,0.96,color
1,karot,food,7,bago,bakal,age,0.05,material
1,silya,furniture,8,maikli,parihaba,size,0.99,shape
1,mesa,furniture,9,mahaba,puti,size,0.04,color
1,television,furniture,10,maliit,asul,size,0.05,color
1,kamatis,food,11,puti,luma,color,0.98,age
1,lampara,furniture,12,tatsulok,asul,shape,0.95,color
1,karot,food,13,matigas,berde,texture,0.02,color
1,keso,food,14,berde,bago,color,0.97,age
1,mesa,furniture,15,kahoy,bago,material,0.51,age
1,saging,food,16,pula,mahaba,color,0.99,size
1,mansanas,food,17,tatsulok,malaki,shape,0.06,size
1,sopa,furniture,18,maikli,makinis,size,0.96,texture
1,saging,food,19,pula,malaki,color,0.93,size
1,mesa,furniture,20,makinis,aluminyo,texture,0.08,material
1,silya,furniture,21,matigas,bilog,texture,0.93,shape
1,television,furniture,22,sira,bakal,quality,0.06,material
1,silya,furniture,23,tatsulok,aluminyo,shape,0.94,material
1,television,furniture,24,asul,maikli,color,0.06,size
1,keso,food,25,sira,malambot,quality,0.92,texture
1,karot,food,26,bago,makinis,age,0.95,texture
1,lampara,furniture,27,berde,luma,color,0.06,age
1,lampara,furniture,28,bago,puti,age,0.93,color
2,saging,food,3,maliit,bilog,size,0.51,shape
2,mesa,furniture,4,mahaba,maganda,size,0.4,quality
2,keso,food,5,tatsulok,maganda,shape,0.56,quality
2,mesa,furniture,6,malaki,sariwa,size,0.57,age
2,keso,food,7,cuadrado,mahaba,shape,0.41,size
2,mansanas,food,8,bago,bakal,age,0.69,material
2,mansanas,food,9,malaki,cuadrado,size,0.72,shape
2,television,furniture,10,bilog,sira,shape,0.69,quality
2,mansanas,food,11,maikli,cuadrado,size,0.7,shape
2,mansanas,food,12,bago,mahaba,age,0.72,size
2,mesa,furniture,13,itim,bakal,color,0.6,material
2,karot,food,14,malaki,sariwa,size,0.73,age
2,karot,food,15,mahaba,kahoy,size,0.7,material
2,karot,food,16,sira,bakal,quality,0.63,material
2,karot,food,17,bilog,kahoy,shape,0.65,material
2,kamatis,food,18,itim,cuadrado,color,0.59,shape
2,silya,furniture,19,maikli,luma,size,0.19,age
2,kamatis,food,20,malaki,asul,size,0.37,color
2,saging,food,21,sariwa,kahoy,age,0.54,material
2,saging,food,22,makinis,maganda,texture,0.72,quality
2,mansanas,food,23,maliit,cuadrado,size,0.84,shape
2,television,furniture,24,maliit,bago,size,0.66,age
2,karot,food,25,itim,malambot,color,0.8,texture
2,lampara,furniture,26,bulok,berde,age,0.79,color
2,television,furniture,27,dilaw,parihaba,color,0.85,shape
2,lampara,furniture,28,bago,maganda,age,0.76,quality
3,mesa,furniture,3,matigas,aluminyo,texture,0.83,material
3,keso,food,4,maikli,dilaw,size,0.34,color
3,mansanas,food,5,itim,mahaba,color,0.4,size
3,karot,food,6,makinis,itim,texture,0,color
3,saging,food,7,bulok,malambot,age,0.07,texture
3,mansanas,food,8,maliit,sira,size,0.18,quality
3,kamatis,food,9,tatsulok,matigas,shape,0.25,texture
3,television,furniture,10,bilog,malambot,shape,0.65,texture
3,sopa,furniture,11,itim,cuadrado,color,0.8,shape
3,karot,food,12,luma,kahoy,age,0.53,material
3,silya,furniture,13,maganda,maliit,quality,0.24,size
3,kamatis,food,14,maganda,itim,quality,0.53,color
3,silya,furniture,15,cuadrado,itim,shape,0.34,color
3,saging,food,16,bilog,matigas,shape,0.79,texture
3,silya,furniture,17,tatsulok,puti,shape,0.8,color
3,mesa,furniture,18,aluminyo,malambot,material,0.14,texture
3,television,furniture,19,bago,parihaba,age,0.76,shape
3,sopa,furniture,20,malambot,asul,texture,0.78,color
3,saging,food,21,mahaba,maganda,size,0.59,quality
3,television,furniture,22,parihaba,bakal,shape,0.32,material
3,mesa,furniture,23,bilog,malambot,shape,0.79,texture
3,sopa,furniture,24,kahoy,maliit,material,0.21,size
3,karot,food,25,sira,tatsulok,quality,0.76,shape
3,keso,food,26,bilog,makinis,shape,0.45,texture
3,mesa,furniture,27,maganda,kahoy,quality,0.84,material
3,television,furniture,28,puti,luma,color,0.82,age
4,mesa,furniture,3,kahoy,bulok,material,0.89,age
4,mesa,furniture,4,asul,maliit,color,0.33,size
4,silya,furniture,5,kahoy,maikli,material,0.63,size
4,saging,food,6,kahoy,maliit,material,0.79,size
4,sopa,furniture,7,maikli,tatsulok,size,0.73,shape
4,mesa,furniture,8,maikli,tatsulok,size,0.4,shape
4,mansanas,food,9,makinis,kahoy,texture,0.83,material
4,kamatis,food,10,kahoy,maikli,material,0.43,size
4,keso,food,11,bulok,pula,age,0.8,color
4,saging,food,12,maliit,bulok,size,0.88,age
