"","workerid","firstutterance","noun","nounclass","slide_number","predicate","class","response","language","born","age","assess","agemove","live","dialects","education","gender"
"157",6,"ay","karot","food",3,"pula","color",0.02,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"158",6,"ay","mesa","furniture",4,"cuadrado","shape",0.92,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"159",6,"ay hindi","silya","furniture",5,"maliit","size",0.98,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"160",6,"ay","karot","food",6,"berde","color",0.04,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"161",6,"ay hindi","silya","furniture",7,"luma","age",0.94,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"162",6,"ay hindi","karot","food",8,"aluminyo","material",0.04,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"163",6,"ay hindi","kamatis","food",9,"matigas","texture",0.95,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"164",6,"ay","silya","furniture",10,"dilaw","color",0.05,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"165",6,"ay","lampara","furniture",11,"parihaba","shape",0.97,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"166",6,"ay hindi","kamatis","food",12,"itim","color",0,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"167",6,"ay","television","furniture",13,"makinis","texture",0.98,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"168",6,"ay","saging","food",14,"sira","quality",1,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"169",6,"ay hindi","karot","food",15,"malaki","size",0.99,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"170",6,"ay","mesa","furniture",16,"sariwa","age",0.99,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"171",6,"ay","lampara","furniture",17,"malambot","texture",0.96,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"172",6,"ay hindi","kamatis","food",18,"puti","color",0.04,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"173",6,"ay hindi","television","furniture",19,"tatsulok","shape",0.99,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"174",6,"ay","lampara","furniture",20,"asul","color",0.03,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"175",6,"ay hindi","keso","food",21,"bago","age",0.94,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"176",6,"ay","sopa","furniture",22,"maganda","quality",0.95,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"177",6,"ay hindi","mansanas","food",23,"bilog","shape",0.96,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"178",6,"ay","kamatis","food",24,"bakal","material",0.03,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"179",6,"ay","mansanas","food",25,"maikli","size",0.02,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"180",6,"ay","silya","furniture",26,"mahaba","size",0.99,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"181",6,"ay hindi","sopa","furniture",27,"bulok","age",1,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"182",6,"ay hindi","lampara","furniture",28,"kahoy","material",0.97,"tagalog","Philippines",22,"Yes",NA,"Philippines","English",3,"Female"
"287",11,"ay hindi","mansanas","food",3,"itim","color",0.63,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"288",11,"ay","television","furniture",4,"dilaw","color",0.41,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"289",11,"ay","television","furniture",5,"mahaba","size",0.7,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"290",11,"ay hindi","sopa","furniture",6,"aluminyo","material",0.48,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"291",11,"ay","television","furniture",7,"bago","age",0.77,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"292",11,"ay","television","furniture",8,"asul","color",0.3,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"293",11,"ay","saging","food",9,"matigas","texture",0.65,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"294",11,"ay hindi","saging","food",10,"maliit","size",0.44,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"295",11,"ay","saging","food",11,"makinis","texture",0.9,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"296",11,"ay hindi","kamatis","food",12,"pula","color",0.53,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"297",11,"ay","saging","food",13,"sariwa","age",0.27,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"298",11,"ay","silya","furniture",14,"sira","quality",0.7,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"299",11,"ay","kamatis","food",15,"maganda","quality",0.46,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"300",11,"ay","kamatis","food",16,"cuadrado","shape",0.78,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"301",11,"ay hindi","mansanas","food",17,"maikli","size",0.25,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"302",11,"ay hindi","keso","food",18,"parihaba","shape",0.6,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"303",11,"ay hindi","mansanas","food",19,"bakal","material",0.82,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
"304",11,"ay hindi","kamatis","food",20,"bulok","age",0.38,"filipino","Philippines",25,"No","12","Philippines","english",0,"Female"
