"","workerid","noun","nounclass","slide_number","predicate1","predicate2","class1","class2","response","language","born","age","assess","agemove","live","dialects","education"
"53","2","kamatis","food","3","maikli","bago","size","age",0.11,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"54","2","lampara","furniture","4","maganda","parihaba","quality","shape",0.12,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"55","2","television","furniture","5","pula","sira","color","quality",0,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"56","2","keso","food","6","sira","malambot","quality","texture",0.06,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"57","2","silya","furniture","7","maliit","matigas","size","texture",0.86,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"58","2","mesa","furniture","8","sariwa","aluminyo","age","material",0.13,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"59","2","saging","food","9","bulok","itim","age","color",0,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"60","2","television","furniture","10","matigas","dilaw","texture","color",0,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"61","2","television","furniture","11","maganda","itim","quality","color",1,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"62","2","keso","food","12","pula","makinis","color","texture",0.18,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"63","2","kamatis","food","13","luma","maganda","age","quality",0.11,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"64","2","television","furniture","14","malambot","tatsulok","texture","shape",0.82,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"65","2","karot","food","15","cuadrado","bulok","shape","age",0.08,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"66","2","mesa","furniture","16","maliit","dilaw","size","color",0.16,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"67","2","silya","furniture","17","bulok","malaki","age","size",0.11,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"68","2","lampara","furniture","18","sira","maikli","quality","size",0.32,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"69","2","karot","food","19","malambot","cuadrado","texture","shape",0.83,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"70","2","keso","food","20","tatsulok","luma","shape","age",0.21,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"71","2","lampara","furniture","21","malaki","luma","size","age",0.8,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"72","2","karot","food","22","matigas","dilaw","texture","color",0.93,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"73","2","keso","food","23","matigas","bilog","texture","shape",0.04,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"74","2","keso","food","24","malambot","maikli","texture","size",0.93,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"75","2","keso","food","25","luma","maliit","age","size",0.05,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"76","2","television","furniture","26","asul","bago","color","age",0.08,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"77","2","mesa","furniture","27","bulok","parihaba","age","shape",0.11,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"78","2","silya","furniture","28","pula","aluminyo","color","material",0.12,"english/tagalog","USA","23","Yes","","USA","can understand cebuano","3"
"157","6","mesa","furniture","3","parihaba","sariwa","shape","age",0.65,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"158","6","mansanas","food","4","sariwa","matigas","age","texture",0.16,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"159","6","silya","furniture","5","maikli","maganda","size","quality",0.1,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"160","6","saging","food","6","malaki","sira","size","quality",0.22,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"161","6","lampara","furniture","7","puti","parihaba","color","shape",0.85,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"162","6","sopa","furniture","8","malambot","bago","texture","age",0.09,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"163","6","karot","food","9","asul","bilog","color","shape",0.19,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"164","6","television","furniture","10","malaki","bulok","size","age",0.09,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"165","6","mansanas","food","11","sariwa","cuadrado","age","shape",0.3,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"166","6","kamatis","food","12","itim","parihaba","color","shape",0.41,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"167","6","karot","food","13","puti","maliit","color","size",0.25,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"168","6","saging","food","14","bakal","bulok","material","age",0.22,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"169","6","silya","furniture","15","bilog","asul","shape","color",0.18,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"170","6","keso","food","16","kahoy","malaki","material","size",0.1,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"171","6","lampara","furniture","17","pula","bago","color","age",0,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"172","6","kamatis","food","18","malambot","puti","texture","color",0.85,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"173","6","lampara","furniture","19","maikli","dilaw","size","color",0.87,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"174","6","mansanas","food","20","bulok","parihaba","age","shape",0.83,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"175","6","keso","food","21","tatsulok","maganda","shape","quality",0.18,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"176","6","kamatis","food","22","bulok","makinis","age","texture",0.2,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"177","6","karot","food","23","malaki","sira","size","quality",0.52,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"178","6","karot","food","24","puti","sariwa","color","age",0.55,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"179","6","sopa","furniture","25","luma","itim","age","color",0.5,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"180","6","television","furniture","26","bago","bakal","age","material",0.92,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"181","6","karot","food","27","kahoy","sariwa","material","age",0.14,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"182","6","karot","food","28","cuadrado","bakal","shape","material",0.17,"Tagalog","Philippines","23","Yes","14","USA","N/A","3"
"287","11","mansanas","food","3","sariwa","dilaw","age","color",1,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"288","11","karot","food","4","luma","maliit","age","size",0,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"289","11","lampara","furniture","5","asul","mahaba","color","size",0,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
"290","11","lampara","furniture","6","maikli","sira","size","quality",1,"Tagalog, English","Philippines","27","Yes","6","USA","Ilocano","3"
